Name;NumberOfVars;NumberOfClauses;AvgMilliseconds;Timeout
factor4.cnf;204;777;7.333333333333333;FALSE
factor5.cnf;492;1908;8.666666666666666;FALSE
factor6.cnf;1062;4161;103.33333333333333;FALSE
factor7.cnf;2076;8184;1464.6666666666667;FALSE
factor8.cnf;3232;12778;4017;FALSE
op08.cnf;56;372;55.666666666666664;FALSE
op09.cnf;72;549;1257;FALSE
op10.cnf;90;775;20000;TRUE
op11.cnf;110;1056;20000;TRUE
op12.cnf;132;1398;20000;TRUE
parity09.cnf;36;261;0;FALSE
parity11.cnf;55;506;10.666666666666666;FALSE
parity13.cnf;78;871;947.3333333333334;FALSE
parity15.cnf;105;1380;20000;TRUE
php09.cnf;81;333;120.66666666666667;FALSE
php10.cnf;100;460;5685.333333333333;FALSE
php11.cnf;121;616;20004;TRUE
php12.cnf;144;804;20000;TRUE
php13.cnf;169;1027;20000;TRUE
php14.cnf;196;1288;20000;TRUE
php15.cnf;225;1590;20000;TRUE
sudoku-hard01.cnf;729;3266;20001;TRUE
sudoku-hard02.cnf;729;3266;20000;TRUE
sudoku-hard03.cnf;729;3264;20000;TRUE
sudoku-hard04.cnf;729;3265;20000;TRUE
sudoku-hard05.cnf;729;3267;20000;TRUE
sudoku-hard06.cnf;729;3265;20000;TRUE
sudoku-hard07.cnf;729;3264;20000;TRUE
sudoku-hard08.cnf;729;3266;20000;TRUE
sudoku-hard09.cnf;729;3267;20000;TRUE
sudoku-hard10.cnf;729;3267;20000;TRUE
tseitin12.cnf;24;96;37.333333333333336;FALSE
tseitin13.cnf;26;104;110.33333333333333;FALSE
tseitin14.cnf;28;112;325;FALSE
tseitin15.cnf;30;120;1181.6666666666667;FALSE
tseitin16.cnf;32;128;4769.666666666667;FALSE
tseitin17.cnf;34;136;18466.333333333332;FALSE
tseitin18.cnf;36;144;20001;TRUE
tseitin19.cnf;38;152;20000;TRUE
tseitin20.cnf;40;160;20000;TRUE
tseitin21.cnf;42;168;20000;TRUE
tseitin22.cnf;44;176;20000;TRUE
